Ticket,Date,Timezone,Transaction,Details,Instrument,Price,Units,Direction,Spread Cost,Stop Loss,Take Profit,Trailing Stop,Financing,Commission,Conversion Rate,P/L,Amount,Balance
4,04/08/2020 04:44:59 PM,AST,MARKET_ORDER,CLIENT_ORDER,NZD/CAD,,2000,Buy,,,,,,,,,,
5,04/08/2020 04:44:59 PM,AST,ORDER_FILL,MARKET_ORDER,NZD/CAD,0.84304,2000,Buy,0.4600,,,,0.00000,0.0000,,0.00000,,2000.00
6,04/08/2020 04:44:59 PM,AST,STOP_LOSS_ORDER,ON_FILL,,0.83200,,,,,,,,,,,,
7,04/08/2020 04:44:59 PM,AST,TRADE_CLIENT_EXTENSIONS_MODIFY,,,,,,,,,,,,,,,
8,04/08/2020 04:59:43 PM,AST,MARKET_ORDER,CLIENT_ORDER,NZD/CAD,,2000,Buy,,,,,,,,,,
9,04/08/2020 04:59:43 PM,AST,ORDER_FILL,MARKET_ORDER,NZD/CAD,0.84213,2000,Buy,0.6700,,,,0.00000,0.0000,,0.00000,,2000.00
10,04/08/2020 04:59:43 PM,AST,STOP_LOSS_ORDER,ON_FILL,,0.83094,,,,,,,,,,,,
11,04/08/2020 04:59:43 PM,AST,TRADE_CLIENT_EXTENSIONS_MODIFY,,,,,,,,,,,,,,,
12,04/08/2020 05:00:00 PM,AST,DAILY_FINANCING,,,,,,,,,,-0.04800,,,,,1999.95
,04/08/2020 05:00:00 PM,AST,DAILY_FINANCING,TradeID: 5,NZD/CAD,,,,,,,,-0.02400,,,,,
,04/08/2020 05:00:00 PM,AST,DAILY_FINANCING,TradeID: 9,NZD/CAD,,,,,,,,-0.02400,,,,,
13,04/08/2020 05:00:26 PM,AST,MARKET_ORDER,CLIENT_ORDER,NZD/CAD,,2000,Buy,,,,,,,,,,
14,04/08/2020 05:00:26 PM,AST,ORDER_FILL,MARKET_ORDER,NZD/CAD,0.84288,2000,Buy,2.0000,,,,0.00000,0.0000,,0.00000,,1999.95
15,04/08/2020 05:00:26 PM,AST,STOP_LOSS_ORDER,ON_FILL,,0.83166,,,,,,,,,,,,
16,04/08/2020 05:00:34 PM,AST,TRADE_CLIENT_EXTENSIONS_MODIFY,,,,,,,,,,,,,,,
17,04/08/2020 05:02:33 PM,AST,MARKET_ORDER,CLIENT_ORDER,NZD/CAD,,2000,Buy,,,,,,,,,,
18,04/08/2020 05:02:33 PM,AST,ORDER_FILL,MARKET_ORDER,NZD/CAD,0.84362,2000,Buy,2.0000,,,,0.00000,0.0000,,0.00000,,1999.95
19,04/08/2020 05:02:33 PM,AST,STOP_LOSS_ORDER,ON_FILL,,0.83290,,,,,,,,,,,,
20,04/08/2020 05:02:33 PM,AST,TRADE_CLIENT_EXTENSIONS_MODIFY,,,,,,,,,,,,,,,
21,04/08/2020 05:13:19 PM,AST,MARKET_ORDER,CLIENT_ORDER,NZD/CAD,,2000,Buy,,,,,,,,,,
22,04/08/2020 05:13:19 PM,AST,ORDER_FILL,MARKET_ORDER,NZD/CAD,0.84265,2000,Buy,2.0000,,,,0.00000,0.0000,,0.00000,,1999.95
23,04/08/2020 05:13:19 PM,AST,STOP_LOSS_ORDER,ON_FILL,,0.83186,,,,,,,,,,,,
24,04/08/2020 05:13:19 PM,AST,TRADE_CLIENT_EXTENSIONS_MODIFY,,,,,,,,,,,,,,,
25,04/08/2020 05:22:22 PM,AST,MARKET_ORDER,CLIENT_ORDER,NZD/CAD,,2000,Buy,,,,,,,,,,
26,04/08/2020 05:22:22 PM,AST,ORDER_FILL,MARKET_ORDER,NZD/CAD,0.84275,2000,Buy,0.9000,,,,0.00000,0.0000,,0.00000,,1999.95
27,04/08/2020 05:22:22 PM,AST,STOP_LOSS_ORDER,ON_FILL,,0.83195,,,,,,,,,,,,
28,04/08/2020 05:22:22 PM,AST,TRADE_CLIENT_EXTENSIONS_MODIFY,,,,,,,,,,,,,,,
29,04/08/2020 05:28:34 PM,AST,MARKET_ORDER,CLIENT_ORDER,NZD/CAD,,2000,Buy,,,,,,,,,,
30,04/08/2020 05:28:34 PM,AST,ORDER_FILL,MARKET_ORDER,NZD/CAD,0.84282,2000,Buy,0.9500,,,,0.00000,0.0000,,0.00000,,1999.95
31,04/08/2020 05:28:34 PM,AST,STOP_LOSS_ORDER,ON_FILL,,0.83202,,,,,,,,,,,,
32,04/08/2020 05:28:34 PM,AST,TRADE_CLIENT_EXTENSIONS_MODIFY,,,,,,,,,,,,,,,
33,04/08/2020 05:37:41 PM,AST,MARKET_ORDER,CLIENT_ORDER,NZD/CAD,,2000,Buy,,,,,,,,,,
34,04/08/2020 05:37:41 PM,AST,ORDER_FILL,MARKET_ORDER,NZD/CAD,0.84275,2000,Buy,0.7500,,,,0.00000,0.0000,,0.00000,,1999.95
35,04/08/2020 05:37:41 PM,AST,STOP_LOSS_ORDER,ON_FILL,,0.83195,,,,,,,,,,,,
36,04/08/2020 05:37:41 PM,AST,TRADE_CLIENT_EXTENSIONS_MODIFY,,,,,,,,,,,,,,,
37,04/08/2020 05:39:42 PM,AST,MARKET_ORDER,CLIENT_ORDER,NZD/CAD,,2000,Buy,,,,,,,,,,
38,04/08/2020 05:39:42 PM,AST,ORDER_FILL,MARKET_ORDER,NZD/CAD,0.84296,2000,Buy,0.9000,,,,0.00000,0.0000,,0.00000,,1999.95
39,04/08/2020 05:39:42 PM,AST,STOP_LOSS_ORDER,ON_FILL,,0.83216,,,,,,,,,,,,
40,04/08/2020 05:39:42 PM,AST,TRADE_CLIENT_EXTENSIONS_MODIFY,,,,,,,,,,,,,,,
41,04/08/2020 05:41:13 PM,AST,MARKET_ORDER,CLIENT_ORDER,NZD/CAD,,2000,Buy,,,,,,,,,,
42,04/08/2020 05:41:13 PM,AST,ORDER_FILL,MARKET_ORDER,NZD/CAD,0.84302,2000,Buy,0.9700,,,,0.00000,0.0000,,0.00000,,1999.95
43,04/08/2020 05:41:13 PM,AST,STOP_LOSS_ORDER,ON_FILL,,0.83222,,,,,,,,,,,,
44,04/08/2020 05:41:13 PM,AST,TRADE_CLIENT_EXTENSIONS_MODIFY,,,,,,,,,,,,,,,
45,04/08/2020 05:41:18 PM,AST,MARKET_ORDER,CLIENT_ORDER,NZD/CAD,,2000,Buy,,,,,,,,,,
46,04/08/2020 05:41:18 PM,AST,ORDER_FILL,MARKET_ORDER,NZD/CAD,0.84297,2000,Buy,0.9200,,,,0.00000,0.0000,,0.00000,,1999.95
47,04/08/2020 05:41:18 PM,AST,STOP_LOSS_ORDER,ON_FILL,,0.83217,,,,,,,,,,,,
48,04/08/2020 05:41:18 PM,AST,TRADE_CLIENT_EXTENSIONS_MODIFY,,,,,,,,,,,,,,,
49,04/08/2020 05:51:44 PM,AST,MARKET_ORDER,CLIENT_ORDER,NZD/CAD,,2000,Buy,,,,,,,,,,
50,04/08/2020 05:51:44 PM,AST,ORDER_FILL,MARKET_ORDER,NZD/CAD,0.84290,2000,Buy,1.0400,,,,0.00000,0.0000,,0.00000,,1999.95
51,04/08/2020 05:51:44 PM,AST,STOP_LOSS_ORDER,ON_FILL,,0.83208,,,,,,,,,,,,
52,04/08/2020 05:51:44 PM,AST,TRADE_CLIENT_EXTENSIONS_MODIFY,,,,,,,,,,,,,,,
